CryoSleep,HomePlanet_Earth,HomePlanet_Europa,HomePlanet_Mars,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_side_P,Cabin_side_S,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,spending_Categ_Low,spending_Categ_Medium,spending_Categ_High
True,True,False,False,False,False,False,False,False,False,True,False,False,True,0.34177215189873417,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.24050632911392406,0.0,0.0003561112649863491,0.0,0.1422596250755896,0.0,False,False,True
True,False,True,False,False,False,True,False,False,False,False,False,False,True,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,True,False,False
False,False,True,False,False,False,True,False,False,False,False,False,False,True,0.4810126582278481,0.0,0.2632057927432438,0.0,0.00912114493045757,0.02626616379310345,False,False,True
False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.25316455696202533,0.0008645283997579321,0.0,0.07657983598649301,0.0,0.0,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.3924050632911392,0.0,0.06390218810588376,0.03171731789676797,0.005694416448296715,0.0026939655172413795,False,True,False
True,False,True,False,False,True,False,False,False,False,False,False,True,False,0.26582278481012656,0.0,0.0,0.0,0.0,0.0,True,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.25316455696202533,0.0,0.0,0.0,0.0,0.0,True,False,False
True,False,True,False,False,False,False,True,False,False,False,False,False,True,0.2911392405063291,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.3037974683544304,0.0,0.025283899814030786,0.0,0.0,0.0,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.24050632911392406,0.029307512751793895,0.0001187037549954497,0.01640135069946937,0.01194315662164886,0.0,False,True,False
False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.569620253164557,0.08057404685743927,0.002928025956554426,0.0,0.00035275146139891153,0.04534841954022988,False,True,False
False,False,True,False,False,False,False,True,False,False,False,False,True,False,0.5569620253164557,0.0,0.061765520515965656,0.0,0.0007055029227978231,0.010057471264367816,False,True,False
True,False,False,True,False,False,False,False,True,False,False,False,True,False,0.5822784810126582,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.26582278481012656,0.0,0.0,0.0,0.08501310219713767,0.004130747126436782,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.34177215189873417,0.0,0.0,0.0,0.04550493852045959,0.0,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.25316455696202533,0.0001729056799515864,0.0004748150199817988,0.03051133622768934,0.023029631122757507,0.030980603448275863,False,True,False
True,False,True,False,False,True,False,False,False,False,False,False,False,True,0.5569620253164557,0.0,0.0,0.0,0.0,0.0,True,False,False
False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.3670886075949367,0.0,0.3049895145016421,0.02930535455861071,0.028673654505140093,0.015400502873563218,False,False,True
False,False,True,False,False,True,False,False,False,False,False,False,False,True,0.5063291139240507,0.002247773839370623,0.07616824278874688,0.000964785335262904,0.1584357992340254,0.0028286637931034483,False,False,True
False,True,False,False,False,False,False,False,False,False,True,False,False,True,0.37974683544303794,0.0,0.034740632295334944,0.003135552339604438,0.00015117919774239064,0.0,False,True,False
False,True,False,False,False,False,False,False,True,False,False,False,True,False,0.17721518987341772,0.0,0.0,0.0,0.08108244305583552,0.0,False,True,False
True,False,True,False,False,True,False,False,False,False,False,False,True,False,0.3924050632911392,0.0,0.0,0.0,0.0,0.0,True,False,False
False,False,True,False,False,True,False,False,False,False,False,False,True,False,0.34177215189873417,0.0,0.2760653662010842,0.0,0.00020157226365652087,0.055450790229885055,False,False,True
False,False,True,False,False,True,False,False,False,False,False,False,True,False,0.8354430379746836,0.003371660759055935,0.2552922090768805,0.0,0.07100382987300947,0.00695941091954023,False,False,True
False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.3037974683544304,0.15423186651681509,0.0003165433466545325,0.002170767004341534,0.0009070751864543439,0.0,False,True,False
False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.24050632911392406,0.02533068211290741,0.1382898745696989,0.6359141341051616,0.005946381777867366,0.018947557471264368,False,False,True
True,True,False,False,False,False,False,False,True,False,False,False,True,False,0.45569620253164556,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.26582278481012656,0.0,0.024492541447394454,0.0014471780028943561,0.00015117919774239064,0.0,False,True,False
True,True,False,False,False,False,False,False,False,False,True,False,False,True,0.22784810126582278,0.0,0.0,0.0,0.0,0.0,True,False,False
True,True,False,False,False,False,False,False,False,False,True,False,False,True,0.3291139240506329,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,False,True,False,False,True,0.24050632911392406,0.05169879830552434,0.0,0.0036179450072358903,0.0,0.0,False,True,False
True,True,False,False,False,False,False,False,False,False,True,False,False,True,0.6075949367088608,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.2911392405063291,0.0012103397596611048,0.03442408894868041,0.0,0.0,0.0010326867816091954,False,True,False
False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.3037974683544304,0.04175672170830812,0.0,0.010492040520984082,0.010784116105623867,0.0,False,True,False
False,True,False,False,False,False,False,False,True,False,False,False,True,False,0.24050632911392406,0.0,0.0007913583666363314,0.016280752532561504,0.013354162467244508,0.01647808908045977,False,True,False
True,False,False,True,False,False,False,False,False,True,False,False,False,True,0.3037974683544304,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.34177215189873417,0.0057058874384023515,0.06868990622403355,0.0,0.0,0.0006734913793103449,False,True,False
True,True,False,False,False,False,False,False,False,False,True,False,False,True,0.0759493670886076,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.4177215189873418,0.0,0.0,0.0,0.043640395081636765,0.0,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.2911392405063291,0.0,0.0,0.1489387361312108,0.0,0.0,False,True,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.37974683544303794,8.64528399757932e-05,0.0,0.19114809454896287,0.0,0.02173132183908046,False,True,False
False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.35443037974683544,0.0,0.0006726546116408816,0.12023637240713941,0.0,0.0,False,True,False
False,True,False,False,False,False,False,False,False,False,True,False,True,False,0.012658227848101266,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,False,True,0.25316455696202533,8.64528399757932e-05,0.0,0.0,0.030185446482564,0.0,False,True,False
True,True,False,False,False,False,False,False,False,True,False,False,False,True,0.21518987341772153,0.0,0.0,0.0,0.0,0.0,True,False,False
False,True,False,False,False,False,False,False,False,True,False,False,True,False,0.43037974683544306,0.0,0.0,0.004703328509406657,5.0393065914130216e-05,0.024964080459770114,False,True,False
False,True,False,False,False,False,False,False,True,False,False,False,True,False,0.3037974683544304,0.0,0.0008704942032999644,0.009889049686444766,0.0,0.030801005747126436,False,True,False
