PassengerId,HomePlanet,Earth,Europa,Mars,CryoSleep,Cabin_deck,Cabin_deck_A,Cabin_deck_B,Cabin_deck_C,Cabin_deck_D,Cabin_deck_E,Cabin_deck_F,Cabin_deck_G,Cabin_deck_T,Cabin_num,Cabin_side,Cabin_side_P,Cabin_side_S,Destination,55 Cancri e,PSO J318.5-22,TRAPPIST-1e,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Total_spending,First_Name,Last_Name,First_Name_le,Last_Name_le,Transported
0001_01,Europa,False,True,False,False,B,False,True,False,False,False,False,False,False,0,P,True,False,TRAPPIST-1e,False,False,True,0.49367088607594933,False,0.0,0.0,0.0,0.0,0.0,0.0,Maham,Ofracculy,1614,1431,False
0002_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,0,S,False,True,TRAPPIST-1e,False,False,True,0.3037974683544304,False,0.0076080128428840646,0.0003018817294468856,0.0010641920653839604,0.024500178507675833,0.0018232296026188207,0.020451829827437686,Juanna,Vines,1407,2109,True
0003_01,Europa,False,True,False,False,A,True,False,False,False,False,False,False,False,0,S,False,True,TRAPPIST-1e,False,False,True,0.7341772151898734,True,0.0030013261673762824,0.11994767383356253,0.0,0.2996697607997144,0.002030414784734596,0.2885208547531053,Altark,Susent,156,1990,False
0003_02,Europa,False,True,False,False,A,True,False,False,False,False,False,False,False,0,S,False,True,TRAPPIST-1e,False,False,True,0.4177215189873418,False,0.0,0.04303491765337269,0.015792610250297972,0.14856301320956802,0.007997348029668918,0.14382971628643676,Solam,Susent,2276,1990,False
0004_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,1,S,False,True,TRAPPIST-1e,False,False,True,0.20253164556962025,False,0.021148879737558454,0.0023479690068091102,0.006427720074919121,0.025214209210996073,8.287407284631003e-05,0.030316503181704504,Willy,Santantines,2642,1778,True
0005_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,0,P,True,False,PSO J318.5-22,False,True,False,0.5569620253164557,False,0.0,0.01620098614698286,0.0,0.012986433416636916,0.0,0.02150776669352822,Sandie,Hinetthews,2176,977,True
0006_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,2,S,False,True,TRAPPIST-1e,False,False,True,0.3291139240506329,False,0.0029315278844140435,0.05162177573541744,0.00012770304784607525,0.0,0.0,0.04401589462861589,Billex,Jacostaffey,390,1080,True
0006_02,Earth,True,False,False,True,G,False,False,False,False,False,False,True,False,0,S,False,True,TRAPPIST-1e,False,False,True,0.35443037974683544,False,0.0,0.0,0.0,0.0,0.0,0.0,Candra,Jacostaffey,480,1080,True
0007_01,Earth,True,False,False,False,F,False,False,False,False,False,True,False,False,3,S,False,True,TRAPPIST-1e,False,False,True,0.4430379746835443,False,0.0,0.02633079529064502,0.0007236506044610931,0.009639414494823279,0.0,0.02828799288632006,Andona,Beston,192,168,True
0008_01,Europa,False,True,False,True,B,False,True,False,False,False,False,False,False,1,P,True,False,55 Cancri e,True,False,False,0.17721518987341772,False,0.0,0.0,0.0,0.0,0.0,0.0,Erraiam,Flatic,922,719,True
0008_02,Europa,False,True,False,True,B,False,True,False,False,False,False,False,False,1,P,True,False,TRAPPIST-1e,False,False,True,0.43037974683544306,False,0.0,0.0,0.0,0.0,0.0,0.0,Altardr,Flatic,154,719,True
